word,pos
",",","
he,PRP
will,MD
resign,VB
.,.
Mr.,NNP
Abbas,NNP
was,VBD
elected,VBN
for,IN
a,DT
four-year,JJ
term,NN
as,IN
president,NN
of,IN
the,DT
Palestinian,JJ
Authority,NNP
in,IN
January,NNP
",",","
2005,CD
.,.
Hamas,NNP
",",","
considered,VBN
a,DT
terrorist,JJ
organization,NN
by,IN
the,DT
West,NNP
",",","
wrested,VBD
control,NN
of,IN
the,DT
legislature,NN
from,IN
the,DT
ruling,NN
Fatah,NNP
party,NN
in,IN
parliamentary,JJ
elections,NNS
last,JJ
month,NN
.,.
Hamas,NNP
leader,NN
and,CC
Palestinian,JJ
Prime,NNP
Minister-designate,NNP
Ismail,NNP
Haniyeh,NNP
said,VBD
Sunday,NNP
his,PRP$
militant,JJ
group,NN
is,VBZ
ready,JJ
to,TO
recognize,VB
Israel,NNP
",",","
if,IN
Israel,NNP
gives,VBZ
the,DT
Palestinian,JJ
people,NNS
a,DT
state,NN
on,IN
lands,NNS
occupied,VBN
since,IN
the,DT
1967,CD
war,NN
.,.
European,NNP
Union,NNP
Trade,NNP
Commissioner,NNP
Peter,NNP
Mandelson,NNP
has,VBZ
called,VBN
on,IN
EU,NNP
governments,NNS
to,TO
release,VB
blocked,VBN
Chinese,JJ
textile,NN
shipments,NNS
",",","
saying,VBG
a,DT
failure,NN
to,TO
do,VB
so,RB
could,MD
cause,VB
economic,JJ
hardship,NN
in,IN
Europe,NNP
.,.
The,DT
announcement,NN
followed,VBD
talks,NNS
with,IN
Beijing,NNP
aimed,VBN
at,IN
revising,VBG
a,DT
June,NNP
textile,NN
quota,NN
agreement,NN
limiting,VBG
shipments,NNS
to,TO
Europe,NNP
.,.
Those,DT
quotas,NNS
filled,VBN
so,RB
quickly,RB
that,IN
millions,NNS
of,IN
items,NNS
of,IN
Chinese-made,JJ
clothing,NN
were,VBD
left,VBN
stranded,VBN
at,IN
customs,NNS
checkpoints,NNS
.,.
Mr.,NNP
Mandelson,NNP
Tuesday,NNP
said,VBD
the,DT
economic,JJ
consequences,NNS
of,IN
not,RB
allowing,VBG
the,DT
goods,NNS
to,TO
enter,VB
Europe,NNP
will,MD
be,VB
severe,JJ
for,IN
small,JJ
retailers,NNS
.,.
He,PRP
said,VBD
delaying,VBG
the,DT
shipments,NNS
could,MD
also,RB
cause,VB
higher,JJR
prices,NNS
and,CC
shortages,NNS
in,IN
the,DT
next,JJ
few,JJ
months,NNS
.,.
EU,NNP
textile,NN
producers,NNS
say,VBP
the,DT
imports,NNS
are,VBP
harming,VBG
their,PRP$
business,NN
",",","
but,CC
retailers,NNS
say,VBP
they,PRP
have,VBP
already,RB
paid,VBN
for,IN
the,DT
Chinese,JJ
clothing,NN
and,CC
want,VB
the,DT
items,NNS
released,VBN
.,.
Iraqi,JJ
officials,NNS
say,VBP
authorities,NNS
have,VBP
regained,VBN
control,NN
of,IN
the,DT
southern,JJ
city,NN
of,IN
Diwaniyah,NNP
",",","
after,IN
fierce,JJ
clashes,NNS
with,IN
Shi'ite,NNP
militiamen,NNS
that,WDT
claimed,VBD
more,JJR
than,IN
70,CD
lives,NNS
.,.
The,DT
office,NN
of,IN
Prime,NNP
Minister,NNP
Nouri,NNP
al-Maliki,NNP
says,VBZ
23,CD
government,NN
soldiers,NNS
and,CC
50,CD
gunmen,NNS
were,VBD
killed,VBN
in,IN
the,DT
fighting,NN
Monday,NNP
.,.
Several,JJ
civilians,NNS
also,RB
were,VBD
reported,VBN
to,TO
have,VB
died,VBN
.,.
The,DT
fighting,NN
ended,VBD
after,IN
a,DT
deal,NN
was,VBD
reached,VBN
between,IN
officials,NNS
and,CC
Shi'ite,NNP
militiamen,NNS
loyal,JJ
to,TO
radical,JJ
Shi'ite,NNP
cleric,NN
Moqtada,NNP
al-Sadr,NNP
.,.
Meanwhile,RB
",",","
some,DT
30,CD
Iraqis,NNS
were,VBD
killed,VBN
and,CC
a,DT
number,NN
of,IN
others,NNS
wounded,VBN
in,IN
a,DT
fuel,NN
pipeline,NN
explosion,NN
near,IN
Diwaniyah,NNP
.,.
The,DT
victims,NNS
may,MD
have,VB
been,VBN
trying,VBG
to,TO
syphon,VB
fuel,NN
at,IN
the,DT
time,NN
of,IN
the,DT
blast,NN
.,.
In,IN
Baghdad,NNP
",",","
police,NNS
say,VBP
they,PRP
found,VBD
the,DT
bodies,NNS
of,IN
at,IN
least,JJS
20,CD
people,NNS
who,WP
had,VBD
been,VBN
shot,VBN
and,CC
dumped,VBN
in,IN
the,DT
capital,NN
.,.
The,DT
U.S.,NNP
military,NN
has,VBZ
reported,VBN
the,DT
deaths,NNS
of,IN
10,CD
American,JJ
soldiers,NNS
in,IN
hostile,JJ
action,NN
in,IN
Iraq,NNP
since,IN
Sunday,NNP
.,.
Sri,NNP
Lankan,NNP
military,JJ
officials,NNS
say,VBP
at,IN
least,JJS
18,CD
Tamil,NNP
rebels,NNS
and,CC
two,CD
government,NN
soldiers,NNS
have,VBP
died,VBN
in,IN
separate,JJ
clashes,NNS
.,.
Officials,NNS
said,VBD
Sunday,NNP
that,IN
the,DT
navy,NN
attacked,VBD
a,DT
rebel,NN
camp,NN
on,IN
Iranativu,NNP
island,NN
off,IN
the,DT
northern,JJ
coast,NN
Saturday,NNP
",",","
destroying,VBG
a,DT
rebel,NN
boat,NN
and,CC
killing,VBG
four,CD
Tamil,NNP
fighters,NNS
.,.
The,DT
military,JJ
says,VBZ
the,DT
other,JJ
14,CD
rebels,NNS
died,VBD
in,IN
fighting,VBG
across,IN
several,JJ
northern,JJ
districts,NNS
Saturday,NNP
.,.
The,DT
military,JJ
reports,VBZ
rebel,NN
casualties,NNS
almost,RB
daily,RB
",",","
and,CC
both,DT
sides,NNS
are,VBP
known,VBN
to,TO
exaggerate,VB
the,DT
number,NN
of,IN
people,NNS
killed,VBN
.,.
The,DT
latest,JJS
fighting,NN
raged,VBD
despite,IN
a,DT
cease-fire,NN
offered,VBN
by,IN
the,DT
rebels,NNS
to,TO
take,VB
place,NN
during,IN
a,DT
regional,JJ
summit,NN
in,IN
the,DT
capital,NN
",",","
Colombo,NNP
.,.
The,DT
rebels,NNS
have,VBP
been,VBN
fighting,VBG
for,IN
an,DT
independent,JJ
homeland,NN
for,IN
ethnic,JJ
Tamils,NNS
in,IN
Sri,NNP
Lanka,NNP
's,POS
north,NN
and,CC
east,NN
since,IN
1983,CD
.,.
They,PRP
complain,VBP
of,IN
discrimination,NN
by,IN
the,DT
ethnic,JJ
Sinhalese,JJ
majority,NN
.,.
President,NNP
Bush,NNP
has,VBZ
signed,VBN
legislation,NN
reaffirming,VBG
U.S.,NNP
support,NN
for,IN
the,DT
continued,JJ
expansion,NN
of,IN
NATO,NNP
.,.
The,DT
measure,NN
designates,VBZ
Albania,NNP
",",","
Croatia,NNP
",",","
Georgia,NNP
",",","
Macedonia,NNP
and,CC
Ukraine,NNP
as,IN
eligible,JJ
to,TO
receive,VB
financial,JJ
assistance,NN
as,IN
they,PRP
pursue,VB
NATO,NNP
membership,NN
.,.
It,PRP
also,RB
specifies,VBZ
that,IN
funds,NNS
for,IN
military,JJ
assistance,NN
for,IN
these,DT
countries,NNS
should,MD
be,VB
included,VBN
in,IN
next,JJ
year,NN
's,POS
budget,NN
.,.
But,CC
the,DT
White,NNP
House,NNP
announcement,NN
did,VBD
not,RB
specify,VB
a,DT
figure,NN
.,.
Al-Qaida,NNP
's,POS
deputy,NN
leader,NN
",",","
Ayman,NNP
al-Zawahiri,NNP
",",","
has,VBZ
warned,VBN
that,IN
the,DT
Persian,NNP
Gulf,NNP
region,NN
and,CC
Israel,NNP
will,MD
be,VB
the,DT
terrorist,JJ
group,NN
's,POS
next,JJ
targets,NNS
.,.
The,DT
Egyptian-born,JJ
Zawahiri,NNP
issued,VBD
the,DT
threat,NN
in,IN
a,DT
videotaped,VBN
message,NN
that,WDT
was,VBD
broadcast,VBN
Monday,NNP
-,IN
the,DT
fifth,JJ
anniversary,NN
of,IN
the,DT
September,NNP
11,CD
attacks,NNS
on,IN
the,DT
United,NNP
States,NNPS
.,.
Zawahiri,NNP
warned,VBD
of,IN
"""",``
new,JJ
events,NNS
"""",``
and,CC
suggested,VBD
that,IN
militants,NNS
should,MD
target,VB
Western,JJ
economic,JJ
interests,NNS
.,.
The,DT
deputy-leader,NN
also,RB
accused,VBD
Western,JJ
powers,NNS
of,IN
stealing,VBG
"""",``
Muslim,NNP
"""",``
oil,NN
.,.
Zawahiri,NNP
stressed,VBD
that,IN
Western,JJ
leaders,NNS
should,MD
be,VB
more,RBR
concerned,JJ
about,IN
attacks,NNS
in,IN
the,DT
Gulf,NNP
or,CC
Israel,NNP
than,IN
violence,NN
in,IN
Iraq,NNP
or,CC
Afghanistan,NNP
.,.
He,PRP
also,RB
made,VBD
the,DT
first,JJ
indirect,JJ
threat,NN
against,IN
United,NNP
Nations,NNPS
peacekeepers,NNS
bound,VBN
for,IN
Lebanon,NNP
.,.
Zawahiri,NNP
said,VBD
the,DT
force,NN
is,VBZ
"""",``
hostile,JJ
to,TO
Islam,NNP
.,.
"""",``
The,DT
message,NN
was,VBD
not,RB
dated,VBN
",",","
but,CC
Zawahiri,NNP
referred,VBD
to,TO
the,DT
war,NN
between,IN
Israel,NNP
and,CC
Hezbollah,NNP
guerrillas,NNS
.,.
An,DT
animal,NN
rights,NNS
group,NN
says,VBZ
more,JJR
than,IN
40,CD
dolphins,NNS
are,VBP
being,VBG
held,VBN
under,IN
what,WP
it,PRP
calls,VBZ
"""",``
appalling,VBG
"""",``
conditions,NNS
in,IN
the,DT
Solomon,NNP
Islands,NNP
.,.
The,DT
World,NNP
Society,NNP
for,IN
the,DT
Protection,NN
of,IN
Animals,NNS
says,VBZ
the,DT
dolphins,NNS
are,VBP
being,VBG
kept,VBN
in,IN
cages,NNS
in,IN
overcrowded,JJ
",",","
shallow,JJ
and,CC
polluted,JJ
pens,NNS
off,IN
the,DT
island,NN
of,IN
Gavutu,NNP
in,IN
the,DT
Pacific,NNP
island,NN
nation,NN
.,.
The,DT
group,NN
says,VBZ
the,DT
dolphins,NNS
suffer,VBP
from,IN
cuts,NNS
",",","
scratches,NNS
and,CC
sunburn,NN
",",","
and,CC
appear,VBP
to,TO
be,VB
undernourished,VBN
and,CC
stressed,VBN
.,.
The,DT
group,NN
urged,VBD
the,DT
Solomon,NNP
Islands,NNP
to,TO
rehabilitate,VB
and,CC
release,VB
the,DT
dolphins,NNS
into,IN
the,DT
wild,NN
.,.
Last,JJ
year,NN
",",","
28,CD
dolphins,NNS
were,VBD
transported,VBN
by,IN
plane,NN
from,IN
the,DT
Solomon,NNP
Islands,NNP
to,TO
Mexico,NNP
",",","
sparking,VBG
international,JJ
criticism,NN
.,.
A,DT
reporters,NNS
',POS
advocacy,NN
group,NN
has,VBZ
condemned,VBN
the,DT
shutdown,NN
of,IN
a,DT
Somali,JJ
radio,NN
station,NN
and,CC
the,DT
detention,NN
of,IN
two,CD
of,IN
its,PRP$
reporters,NNS
.,.
The,DT
New,NNP
York-based,VBN
Committee,NNP
to,TO
Protect,VB
Journalists,NNP
says,VBZ
it,PRP
is,VBZ
alarmed,VBN
by,IN
the,DT
closure,NN
of,IN
Radio,NNP
Shabelle,NNP
in,IN
the,DT
city,NN
of,IN
Baidoa,NNP
on,IN
Sunday,NNP
.,.
Somalia,NNP
's,POS
transitional,JJ
government,NN
shut,VBD
down,RP
the,DT
station,NN
after,IN
it,PRP
broadcast,VBD
a,DT
report,NN
saying,VBG
300,CD
Ethiopian,JJ
soldiers,NNS
had,VBD
crossed,VBN
into,IN
Somalia,NNP
.,.
Ethiopia,NNP
has,VBZ
denied,VBN
the,DT
report,NN
.,.
The,DT
advocacy,NN
group,NN
quotes,VBZ
Radio,NNP
Shabelle,NNP
's,POS
deputy,NN
director,NN
Mohamed,NNP
Amiin,NNP
as,IN
saying,VBG
militiamen,NNS
entered,VBD
its,PRP$
premises,NNS
and,CC
detained,VBD
the,DT
two,CD
journalists,NNS
",",","
Mohamed,NNP
Adawe,NNP
and,CC
Ali,NNP
Mohamed,NNP
Saed,NNP
",",","
for,IN
about,IN
eight,CD
hours,NNS
.,.
It,PRP
says,VBZ
the,DT
government,NN
gave,VBD
no,DT
explanation,NN
for,IN
its,PRP$
action,NN
.,.
The,DT
station,NN
remained,VBD
off,IN
the,DT
air,NN
on,IN
Monday,NNP
.,.
Deputy,NNP
Director,NNP
Amiin,NNP
says,VBZ
the,DT
station,NN
stands,VBZ
by,IN
its,PRP$
report,NN
that,IN
Ethiopian,JJ
troops,NNS
took,VBD
up,RP
positions,NNS
at,IN
Baidoa,NNP
's,POS
airport,NN
on,IN
Saturday,NNP
.,.
The,DT
U.S.,NNP
military,NN
says,VBZ
the,DT
trials,NNS
of,IN
three,CD
Army,NNP
reservists,NNS
charged,VBN
with,IN
abusing,VBG
detainees,NNS
at,IN
the,DT
Abu,NNP
Ghraib,NNP
prison,NN
will,MD
be,VB
moved,VBN
to,TO
the,DT
United,NNP
States,NNPS
.,.
In,IN
a,DT
statement,NN
released,VBN
late,JJ
Wednesday,NNP
",",","
officials,NNS
say,VBP
the,DT
courts,NNS
martial,NN
of,IN
Specialist,NNP
Charles,NNP
Graner,NNP
",",","
Sergeant,NNP
Javal,NNP
Davis,NNP
",",","
and,CC
Specialist,NNP
Sabrina,NNP
Harman,NNP
would,MD
be,VB
held,VBN
early,RB
next,JJ
year,NN
in,IN
Fort,NNP
Hood,NNP
",",","
Texas,NNP
instead,IN
of,IN
Baghdad,NNP
.,.
No,DT
reason,NN
for,IN
the,DT
change,NN
of,IN
venue,NN
was,VBD
given,VBN
.,.
Three,CD
other,JJ
U.S.,NNP
troops,NNS
have,VBP
pleaded,VBN
guilty,JJ
in,IN
connection,NN
with,IN
prisoner,NN
abuse,NN
at,IN
the,DT
Baghdad,NNP
prison,NN
.,.
Most,JJS
of,IN
those,DT
charged,VBN
were,VBD
part,NN
of,IN
a,DT
military,JJ
police,NN
company,NN
based,VBN
in,IN
the,DT
U.S.,NNP
state,NN
of,IN
Maryland,NNP
.,.
The,DT
prisoner,NN
abuse,NN
scandal,NN
erupted,VBD
in,IN
April,NNP
when,WRB
photographs,NNS
of,IN
U.S.,NNP
soldiers,NNS
taunting,VBG
and,CC
humiliating,VBG
naked,JJ
Iraqi,JJ
prisoners,NNS
became,VBD
public,JJ
",",","
sparking,VBG
worldwide,JJ
condemnation,NN
.,.
A,DT
Mexican,JJ
diplomat,NN
says,VBZ
he,PRP
has,VBZ
met,VBN
with,IN
the,DT
leader,NN
of,IN
Colombia,NNP
's,POS
second,JJ
largest,JJS
rebel,NN
group,NN
in,IN
an,DT
effort,NN
to,TO
broker,NN
a,DT
peace,NN
deal,NN
between,IN
the,DT
group,NN
and,CC
the,DT
Colombian,JJ
government,NN
.,.
Mexico,NNP
's,POS
Andres,NNP
Valencia,NNP
told,VBD
reporters,NNS
late,RB
Tuesday,NNP
his,PRP$
talks,NNS
with,IN
National,NNP
Liberation,NNP
Army,NNP
(,LRB
ELN,NNP
),RRB
leader,NN
Francisco,NNP
Galan,NNP
focused,VBD
on,IN
ways,NNS
to,TO
reduce,VB
differences,NNS
between,IN
the,DT
rebels,NNS
and,CC
the,DT
government,NN
in,IN
order,NN
to,TO
set,VB
up,RP
a,DT
possible,JJ
meeting,NN
between,IN
the,DT
two,CD
sides,NNS
in,IN
Mexico,NNP
.,.
The,DT
Colombian,JJ
government,NN
is,VBZ
demanding,VBG
the,DT
group,NN
disarm,NN
and,CC
cease,VB
its,PRP$
practice,NN
of,IN
kidnapping,VBG
citizens,NNS
.,.
While,IN
other,JJ
paramilitary,JJ
groups,NNS
in,IN
the,DT
nation,NN
have,VBP
grown,VBN
rich,JJ
from,IN
the,DT
drug,NN
trade,NN
",",","
the,DT
ELN,NNP
funds,VBZ
itself,PRP
through,IN
kidnapping,NN
.,.
A,DT
top,JJ
U.S.,NNP
official,NN
says,VBZ
the,DT
importance,NN
of,IN
opium,NN
cultivation,NN
to,TO
Afghanistan,NNP
's,POS
economy,NN
is,VBZ
declining,VBG
.,.
Richard,NNP
Boucher,NNP
",",","
the,DT
U.S.,NNP
assistant,NN
secretary,NN
of,IN
state,NN
for,IN
south,NN
and,CC
central,JJ
Asian,JJ
affairs,NNS
",",","
says,VBZ
about,IN
one,CD
third,NN
of,IN
the,DT
Afghan,JJ
economy,NN
was,VBD
based,VBN
on,IN
opium,NN
last,JJ
year,NN
.,.
But,CC
he,PRP
added,VBD
that,IN
its,PRP$
production,NN
was,VBD
diminishing,VBG
due,JJ
to,TO
the,DT
growth,NN
of,IN
the,DT
regular,JJ
economy,NN
",",","
including,VBG
the,DT
cultivation,NN
of,IN
other,JJ
crops,NNS
.,.
He,PRP
said,VBD
more,RBR
needed,VBN
to,TO
be,VB
done,VBN
to,TO
develop,VB
economic,JJ
alternatives,NNS
to,TO
opium,NN
production,NN
in,IN
Afghanistan,NNP
.,.
The,DT
country,NN
is,VBZ
the,DT
world,NN
's,POS
number,NN
one,CD
producer,NN
of,IN
opium,NN
",",","
a,DT
key,JJ
ingredient,NN
in,IN
heroin,NN
.,.
Boucher,NNP
is,VBZ
attending,VBG
an,DT
international,JJ
conference,NN
in,IN
Berlin,NNP
on,IN
the,DT
reconstruction,NN
of,IN
Afghanistan,NNP
.,.
Last,JJ
week,NN
",",","
the,DT
Bush,NNP
administration,NN
announced,VBD
it,PRP
would,MD
spend,VB
more,JJR
than,IN
$,$
10,CD
billion,CD
in,IN
Afghanistan,NNP
for,IN
security,NN
and,CC
reconstruction,NN
.,.
A,DT
U.S.-based,JJ
human,JJ
rights,NNS
group,NN
says,VBZ
recently,RB
gathered,VBN
information,NN
could,MD
lead,VB
to,TO
new,JJ
charges,NNS
against,IN
a,DT
notorious,JJ
former,JJ
Iraqi,JJ
general,NN
who,WP
is,VBZ
accused,VBN
of,IN
ordering,VBG
the,DT
1988,CD
massacre,NN
of,IN
Kurds,NNS
in,IN
northern,JJ
Iraq,NNP
.,.
In,IN
a,DT
report,NN
issued,VBN
Thursday,NNP
",",","
Human,NNP
Rights,NNP
Watch,NNP
says,VBZ
the,DT
new,JJ
information,NN
implicates,VBZ
Ali,NNP
Hassan,NNP
al-Majid,NNP
-,:
known,VBN
as,IN
"""",``
Chemical,NNP
Ali,NNP
"""",``
-,:
in,IN
the,DT
execution,NN
of,IN
hundreds,NNS
of,IN
Shi'ite,NNP
Muslims,NNPS
during,IN
an,DT
uprising,NN
in,IN
the,DT
southern,JJ
city,NN
of,IN
Basra,NNP
in,IN
1999,CD
.,.
Iraqi,JJ
officials,NNS
say,VBP
they,PRP
expect,VBP
Chemical,NNP
Ali,NNP
to,TO
be,VB
among,IN
the,DT
first,NN
of,IN
several,JJ
top,JJ
lieutenants,NNS
of,IN
Saddam,NNP
Hussein,NNP
's,POS
regime,NN
to,TO
go,VB
on,IN
trial,NN
for,IN
a,DT
range,NN
of,IN
crimes,NNS
",",","
including,VBG
crimes,NNS
against,IN
humanity,NN
and,CC
genocide,NN
.,.
In,IN
December,NNP
",",","
Iraq,NNP
's,POS
interim,JJ
Prime,NNP
Minister,NNP
Iyad,NNP
Allawi,NNP
said,VBD
the,DT
trials,NNS
of,IN
top,JJ
officials,NNS
of,IN
the,DT
ousted,JJ
regime,NN
would,MD
begin,VB
within,IN
weeks,NNS
.,.
But,CC
so,RB
far,RB
",",","
no,DT
trial,NN
dates,NNS
have,VBP
been,VBN
set,VBN
.,.
A,DT
fugitive,JJ
leader,NN
of,IN
the,DT
Palestinian,JJ
militant,JJ
group,NN
Hamas,NNP
has,VBZ
appeared,VBN
in,IN
a,DT
videotape,NN
calling,VBG
Israel,NNP
's,POS
withdrawal,NN
from,IN
the,DT
Gaza,NNP
Strip,NNP
a,DT
victory,NN
for,IN
Palestinian,JJ
militants,NNS
.,.
Mohammed,NNP
Deif,NNP
",",","
who,WP
has,VBZ
eluded,VBN
Israeli,JJ
authorities,NNS
for,IN
more,JJR
than,IN
a,DT
decade,NN
",",","
said,VBD
Israel,NNP
's,POS
pullout,NN
is,VBZ
a,DT
humiliation,NN
suffered,VBN
at,IN
the,DT
hands,NNS
of,IN
the,DT
armed,JJ
resistance,NN
.,.
The,DT
alleged,JJ
bombmaker,NN
",",","
who,WP
Israel,NNP
accuses,NNS
of,IN
being,VBG
behind,IN
a,DT
string,NN
of,IN
suicide,NN
bombings,NNS
",",","
appeared,VBD
in,IN
the,DT
video,NN
in,IN
profile,NN
with,IN
a,DT
dark,JJ
shadow,NN
over,IN
his,PRP$
face,NN
.,.
He,PRP
warned,VBD
the,DT
Palestinian,JJ
Authority,NNP
not,RB
to,TO
try,VB
to,TO
disarm,VB
the,DT
militant,JJ
groups,NNS
.,.
But,CC
he,PRP
did,VBD
call,VB
for,IN
dialogue,NN
"""",``
to,TO
protect,VB
our,PRP$
Palestinian,JJ
blood,NN
.,.
"""",``
Western,JJ
news,NN
agencies,NNS
in,IN
Gaza,NNP
received,VBD
copies,NNS
of,IN
the,DT
tape,NN
overnight,JJ
Saturday,NNP
.,.
They,PRP
say,VBP
they,PRP
believe,VBP
the,DT
tape,NN
is,VBZ
authentic,JJ
.,.
Pope,NNP
John,NNP
Paul,NNP
II,NNP
has,VBZ
urged,VBN
believers,NNS
to,TO
proudly,RB
display,VB
the,DT
signs,NNS
of,IN
their,PRP$
faith,NN
",",","
saying,VBG
the,DT
practice,NN
does,VBZ
not,RB
encourage,VB
intolerance,NN
or,CC
infringe,NN
on,IN
the,DT
separation,NN
of,IN
church,NN
and,CC
state,NN
.,.
In,IN
an,DT
apostolic,JJ
letter,NN
to,TO
Roman,NNP
Catholics,NNPS
launching,VBG
the,DT
Year,NN
of,IN
the,DT
Eucharist,NNP
",",","
the,DT
pope,NN
made,VBD
no,DT
mention,NN
of,IN
specific,JJ
problems,NNS
.,.
But,CC
the,DT
message,NN
follows,VBZ
sharp,JJ
controversy,NN
in,IN
France,NNP
over,IN
a,DT
government,NN
ban,NN
on,IN
conspicuous,JJ
religious,JJ
symbols,NNS
such,JJ
as,IN
Muslim,NNP
headscarves,NNS
",",","
Jewish,JJ
skullcaps,NNS
or,CC
large,JJ
crucifixes,NNS
in,IN
the,DT
country,NN
's,POS
schools,NNS
.,.
The,DT
pontiff,NN
also,RB
repeated,VBD
his,PRP$
concern,NN
that,IN
too,RB
few,JJ
Catholics,NNS
are,VBP
giving,VBG
due,JJ
reverence,NN
to,TO
the,DT
Eucharist,NN
or,CC
properly,RB
marking,VBG
Sunday,NNP
as,IN
the,DT
Lord,NNP
's,POS
Day,NN
.,.
He,PRP
also,RB
described,VBD
faith,NN
as,IN
a,DT
means,NN
of,IN
counteracting,VBG
violence,NN
and,CC
a,DT
way,NN
of,IN
bringing,VBG
attention,NN
to,TO
such,JJ
problems,NNS
as,IN
poverty,NN
and,CC
hunger,NN
in,IN
the,DT
world,NN
.,.
Former,JJ
U.S.,NNP
President,NNP
Bill,NNP
Clinton,NNP
says,VBZ
that,IN
publishing,VBG
cartoons,NNS
of,IN
the,DT
Prophet,NNP
Muhammad,NNP
was,VBD
a,DT
mistake,NN
",",","
but,CC
that,IN
violent,JJ
protests,NNS
by,IN
Muslims,NNPS
have,VBP
wasted,VBN
a,DT
chance,NN
to,TO
build,VB
bridges,NNS
with,IN
the,DT
West,NNP
.,.
Clinton,NNP
was,VBD
speaking,VBG
in,IN
Pakistan,NNP
",",","
the,DT
scene,NN
of,IN
some,DT
of,IN
the,DT
worst,JJS
rallies,NNS
against,IN
the,DT
drawings,NNS
",",","
where,WRB
he,PRP
was,VBD
visiting,VBG
survivors,NNS
of,IN
last,JJ
year,NN
's,POS
South,NNP
Asian,NNP
earthquake,NN
and,CC
launching,VBG
an,DT
HIV,NNP
/,NNP
AIDS,NNP
project,NN
.,.
He,PRP
said,VBD
he,PRP
strongly,RB
disagrees,VBZ
with,IN
the,DT
publication,NN
of,IN
the,DT
cartoons,NNS
",",","
considered,VBN
blasphemous,JJ
by,IN
Muslims,NNPS
",",","
and,CC
has,VBZ
no,DT
objection,NN
to,TO
the,DT
Muslim,NNP
protests,NNS
if,IN
they,PRP
are,VBP
peaceful,JJ
.,.
But,CC
he,PRP
said,VBD
by,IN
holding,VBG
violent,JJ
demonstrations,NNS
that,WDT
have,VBP
killed,VBN
18,CD
people,NNS
",",","
Muslims,NNPS
have,VBP
missed,VBN
an,DT
opportunity,NN
to,TO
build,VB
better,JJR
ties,NNS
with,IN
the,DT
West,NNP
.,.
Clinton,NNP
arrived,VBD
in,IN
Islamabad,NNP
early,JJ
Friday,NNP
for,IN
a,DT
day-long,JJ
trip,NN
and,CC
held,VBD
talks,NNS
with,IN
Pakistani,JJ
President,NNP
Pervez,NNP
Musharraf,NNP
and,CC
Prime,NNP
Minister,NNP
Shaukat,NNP
Aziz,NNP
.,.
Iran,NNP
says,VBZ
it,PRP
will,MD
allow,VB
United,NNP
Nations,NNP
nuclear,JJ
experts,NNS
to,TO
take,VB
environmental,JJ
samples,NNS
from,IN
a,DT
military,JJ
site,NN
to,TO
disprove,VB
allegations,NNS
Tehran,NNP
is,VBZ
secretly,RB
developing,VBG
nuclear,JJ
weapons,NNS
.,.
A,DT
foreign,JJ
ministry,NN
spokesman,NN
Hamid,NNP
Reza,NNP
Asefi,NNP
told,VBD
reporters,NNS
Sunday,NNP
in,IN
Tehran,NNP
that,IN
International,NNP
Atomic,NNP
Energy,NNP
Agency,NNP
inspectors,NNS
would,MD
only,RB
take,VB
samples,NNS
from,IN
so-called,JJ
"""",``
green,JJ
areas,NNS
"""",``
at,IN
the,DT
military,JJ
site,NN
",",","
and,CC
not,RB
from,IN
inside,IN
the,DT
installation,NN
.,.
The,DT
head,NN
of,IN
the,DT
IAEA,NNP
",",","
Mohamed,NNP
ElBaradei,NNP
",",","
said,VBD
last,JJ
week,NN
Iran,NNP
had,VBD
agreed,VBN
to,TO
allow,VB
access,NN
to,TO
the,DT
site,NN
at,IN
Parchin,NNP
",",","
near,IN
the,DT
capital,NN
",",","
and,CC
that,IN
inspectors,NNS
would,MD
arrive,VB
there,RB
soon,RB
.,.
The,DT
IAEA,NNP
has,VBZ
been,VBN
seeking,VBG
access,NN
to,TO
Parchin,NNP
",",","
which,WDT
has,VBZ
long,RB
been,VBN
used,VBN
by,IN
Iran,NNP
to,TO
research,VB
",",","
develop,VB
and,CC
produce,VB
missiles,NNS
and,CC
other,JJ
high,JJ
explosives,NNS
.,.
The,DT
United,NNP
States,NNPS
accuses,VBZ
Iran,NNP
of,IN
secretly,RB
developing,VBG
nuclear,JJ
weapons,NNS
.,.
Iran,NNP
asserts,VBZ
its,PRP$
nuclear,JJ
program,NN
is,VBZ
only,RB
for,IN
producing,VBG
electricity,NN
.,.
Turkish,JJ
police,NNS
have,VBP
detained,VBN
at,IN
least,JJS
50,CD
suspected,JJ
al-Qaida-linked,JJ
militants,NNS
in,IN
raids,NNS
across,IN
nine,CD
provinces,NNS
.,.
Local,JJ
media,NNS
say,VBP
the,DT
militants,NNS
",",","
thought,VBN
to,TO
be,VB
members,NNS
of,IN
a,DT
group,NN
(,LRB
the,DT
Islamic,NNP
Jihad,NNP
League,NNP
),RRB
tied,VBN
to,TO
al-Qaida,NNP
",",","
were,VBD
planning,VBG
attacks,NNS
against,IN
U.S.,NNP
",",","
Israeli,JJ
and,CC
NATO,NNP
targets,NNS
in,IN
Turkey,NNP
.,.
They,PRP
say,VBP
the,DT
suspects,NNS
may,MD
have,VB
had,VBN
contact,NN
with,IN
al-Qaida,NNP
's,POS
second-in-command,NN
",",","
Ayman,NNP
al-Zawahri,NNP
",",","
and,CC
may,MD
have,VB
been,VBN
trained,VBN
in,IN
Afghanistan,NNP
.,.
Turkey,NNP
's,POS
Hurriyet,NNP
